店名,網址,星級,評論
ABV Bar & Kitchen 加勒比海餐酒館 啤 酒餐廳 精釀啤 酒 加勒比海料理 南美洲料理,https://www.google.com.tw/maps/place/ABV+Bar+%26+Kitchen+%E5%8A%A0%E5%8B%92%E6%AF%94%E6%B5%B7%E9%A4%90%E9%85%92%E9%A4%A8+%E5%95%A4+%E9%85%92%E9%A4%90%E5%BB%B3+%E7%B2%BE%E9%87%80%E5%95%A4+%E9%85%92+%E5%8A%A0%E5%8B%92%E6%AF%94%E6%B5%B7%E6%96%99%E7%90%86+%E5%8D%97%E7%BE%8E%E6%B4%B2%E6%96%99%E7%90%86/data=!4m6!3m5!1s0x3442abc5e5cc8e03:0xa58081d43316cce4!8m2!3d25.0404828!4d121.5524223!16s%2Fg%2F11byyrr0kv?authuser=0&hl=zh-TW&rclk=1,4.4,"1,803"
French Windows British Teahouse 琺蘭綺瑥朵英式茶餐館,https://www.google.com.tw/maps/place/French+Windows+British+Teahouse+%E7%90%BA%E8%98%AD%E7%B6%BA%E7%91%A5%E6%9C%B5%E8%8B%B1%E5%BC%8F%E8%8C%B6%E9%A4%90%E9%A4%A8/data=!4m6!3m5!1s0x3442abbbfeda0867:0x30f250fd1290f96b!8m2!3d25.0433253!4d121.5634186!16s%2Fg%2F1pzq600pk?authuser=0&hl=zh-TW&rclk=1,4.8,"3,518"
JK STUDIO 新義法料理,https://www.google.com.tw/maps/place/JK+STUDIO+%E6%96%B0%E7%BE%A9%E6%B3%95%E6%96%99%E7%90%86/data=!4m6!3m5!1s0x3442abbc19ebcfcf:0x530bb9197daa5f0f!8m2!3d25.0428905!4d121.5662123!16s%2Fg%2F11cn5mr14m?authuser=0&hl=zh-TW&rclk=1,4.7,"1,631"
艾朋牛排餐酒館 À POINT STEAK & BAR,https://www.google.com.tw/maps/place/%E8%89%BE%E6%9C%8B%E7%89%9B%E6%8E%92%E9%A4%90%E9%85%92%E9%A4%A8+%C3%80+POINT+STEAK+%26+BAR/data=!4m6!3m5!1s0x3442abbb86e23263:0x4bba0dfa5c756556!8m2!3d25.0412837!4d121.5678269!16s%2Fg%2F11gm952zgt?authuser=0&hl=zh-TW&rclk=1,4.6,"4,238"
吉比鮮釀餐廳 - 信義店,https://www.google.com.tw/maps/place/%E5%90%89%E6%AF%94%E9%AE%AE%E9%87%80%E9%A4%90%E5%BB%B3+-+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb09ec78f7d:0x6e43fb375234ebc6!8m2!3d25.0371587!4d121.5671263!16s%2Fg%2F1pzq9ptln?authuser=0&hl=zh-TW&rclk=1,4.3,"2,781"
HOOTERS美式餐廳 信義店,https://www.google.com.tw/maps/place/HOOTERS%E7%BE%8E%E5%BC%8F%E9%A4%90%E5%BB%B3+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442ab8cfd861c45:0x17985ef75e6b5b2d!8m2!3d25.0367179!4d121.5681308!16s%2Fg%2F11j5b4rz6g?authuser=0&hl=zh-TW&rclk=1,4.4,"1,249"
和牛47,https://www.google.com.tw/maps/place/%E5%92%8C%E7%89%9B47/data=!4m6!3m5!1s0x3442ab15769689fb:0x2d67917ec3f59725!8m2!3d25.0344547!4d121.5678798!16s%2Fg%2F11g__58z2t?authuser=0&hl=zh-TW&rclk=1,4.4,728
the Diner 樂子信義旗艦店,https://www.google.com.tw/maps/place/the+Diner+%E6%A8%82%E5%AD%90%E4%BF%A1%E7%BE%A9%E6%97%97%E8%89%A6%E5%BA%97/data=!4m6!3m5!1s0x3442abb0b0c4fc8d:0xa339102f760c962c!8m2!3d25.035347!4d121.5660706!16s%2Fg%2F11gzkv3fk?authuser=0&hl=zh-TW&rclk=1,4.0,"2,832"
崔妮傑恩 微風信義店,https://www.google.com.tw/maps/place/%E5%B4%94%E5%A6%AE%E5%82%91%E6%81%A9+%E5%BE%AE%E9%A2%A8%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abbbeadeeae9:0x807e160cbf6effb2!8m2!3d25.040767!4d121.566845!16s%2Fg%2F11byxg5zbl?authuser=0&hl=zh-TW&rclk=1,4.0,361
莫爾頓牛排館,https://www.google.com.tw/maps/place/%E8%8E%AB%E7%88%BE%E9%A0%93%E7%89%9B%E6%8E%92%E9%A4%A8/data=!4m6!3m5!1s0x3442abbb94cbb63d:0x696e95c68f5262ba!8m2!3d25.0405044!4d121.5668964!16s%2Fg%2F11cmfcnd5t?authuser=0&hl=zh-TW&rclk=1,4.1,"2,731"
KiKi餐廳(信義誠品店),https://www.google.com.tw/maps/place/KiKi%E9%A4%90%E5%BB%B3(%E4%BF%A1%E7%BE%A9%E8%AA%A0%E5%93%81%E5%BA%97)/data=!4m6!3m5!1s0x3442abbbd465615f:0xd37a9ffbee37a241!8m2!3d25.039664!4d121.5657554!16s%2Fg%2F11g_vrls1?authuser=0&hl=zh-TW&rclk=1,4.2,"1,944"
Thai J 泰式料理 台北信義ATT店,https://www.google.com.tw/maps/place/Thai+J+%E6%B3%B0%E5%BC%8F%E6%96%99%E7%90%86+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9ATT%E5%BA%97/data=!4m6!3m5!1s0x3442abb0c96d7ee9:0xc737f2ae5eabc24!8m2!3d25.03531!4d121.5660665!16s%2Fg%2F11f38ykpny?authuser=0&hl=zh-TW&rclk=1,4.1,"1,801"
L’ATELIER de Joël Robuchon侯布雄法式餐廳,https://www.google.com.tw/maps/place/L%E2%80%99ATELIER+de+Jo%C3%ABl+Robuchon%E4%BE%AF%E5%B8%83%E9%9B%84%E6%B3%95%E5%BC%8F%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442abbba8fb7f31:0xfe9a2c13dc0092cb!8m2!3d25.0398624!4d121.5676195!16s%2Fg%2F1vyxg3cx?authuser=0&hl=zh-TW&rclk=1,4.2,"1,569"
勞瑞斯牛肋排餐廳,https://www.google.com.tw/maps/place/%E5%8B%9E%E7%91%9E%E6%96%AF%E7%89%9B%E8%82%8B%E6%8E%92%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442abb07fd6078f:0x98a81462e0871f0!8m2!3d25.039633!4d121.5678702!16s%2Fg%2F1tggr6p7?authuser=0&hl=zh-TW&rclk=1,4.2,"2,153"
老乾杯 信義店,https://www.google.com.tw/maps/place/%E8%80%81%E4%B9%BE%E6%9D%AF+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb0a47226ad:0x90d88d2120616327!8m2!3d25.0365352!4d121.5667157!16s%2Fg%2F1tfb4810?authuser=0&hl=zh-TW&rclk=1,4.2,"1,462"
饗食天堂 台北信義店,https://www.google.com.tw/maps/place/%E9%A5%97%E9%A3%9F%E5%A4%A9%E5%A0%82+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb0b0c4fc8d:0xfe03d89700dc455!8m2!3d25.03531!4d121.5660665!16s%2Fg%2F11h03r221?authuser=0&hl=zh-TW&rclk=1,4.2,"3,966"
樂軒松阪亭,https://www.google.com.tw/maps/place/%E6%A8%82%E8%BB%92%E6%9D%BE%E9%98%AA%E4%BA%AD/data=!4m6!3m5!1s0x3442ab749825aa2f:0xb1a72e3b4e20e2d!8m2!3d25.0395654!4d121.5666828!16s%2Fg%2F11f5w40y3h?authuser=0&hl=zh-TW&rclk=1,4.8,"2,331"
寬巷子鍋品美食 微風信義店,https://www.google.com.tw/maps/place/%E5%AF%AC%E5%B7%B7%E5%AD%90%E9%8D%8B%E5%93%81%E7%BE%8E%E9%A3%9F+%E5%BE%AE%E9%A2%A8%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abbb94bbee3b:0xff80aeb28966080b!8m2!3d25.0405444!4d121.5667909!16s%2Fg%2F11cmn7tnkn?authuser=0&hl=zh-TW&rclk=1,4.7,"2,808"
涓豆腐 ATT信義店,https://www.google.com.tw/maps/place/%E6%B6%93%E8%B1%86%E8%85%90+ATT%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb0b6348785:0xb88b1ff06017e9db!8m2!3d25.03531!4d121.5660665!16s%2Fg%2F11byxg3hlr?authuser=0&hl=zh-TW&rclk=1,4.2,"1,378"
樂天皇朝 信義店,https://www.google.com.tw/maps/place/%E6%A8%82%E5%A4%A9%E7%9A%87%E6%9C%9D+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abbb94cbb63d:0x19b585e28120872c!8m2!3d25.040682!4d121.5669646!16s%2Fg%2F11cnwdkmbv?authuser=0&hl=zh-TW&rclk=1,4.2,"1,904"
Chili's Grill & Bar美式休閒餐廳-信義店 (Xinyi),https://www.google.com.tw/maps/place/Chili's+Grill+%26+Bar%E7%BE%8E%E5%BC%8F%E4%BC%91%E9%96%92%E9%A4%90%E5%BB%B3-%E4%BF%A1%E7%BE%A9%E5%BA%97+(Xinyi)/data=!4m6!3m5!1s0x3442a97765c87641:0xfff90118bb559732!8m2!3d25.0355335!4d121.5677574!16s%2Fg%2F1thl33f4?authuser=0&hl=zh-TW&rclk=1,4.5,"1,900"
